,"Serial
Number",Sv2 Field Name,"Enquiry Field Name
(Customer Spec)","Enquiry Field Value
(Customer Spec)",Units,"Mapping
Category","Field
Requirement",Logic,"Value for
Sv2 Field","Service
Dependency","Sector
Dependency","Similar Field
Terminologies","Similar Field
Values","SV2 Spec
Row Number","Sv2 Spec
Field Name","Notes and
Validations","Additional
Information"
51,52,"Positioner Action / Input
Signal","Signal Inlet (Row 57) + Increase
Signal Valve (Row 58)","4-20mA+HART, Increase Signal = Close
(Tags 1&3) / Open (Tag 2)",mA,Derived,Mandatory,"Combine action sense and signal: 'Increase Signal
→ Close' = Direct Acting. 'Increase Signal → Open'
= Reverse Acting. All tags use 4-20 mA input.
Result: 'Direct/4-20 mA' for ATC valves.",Direct/4-20 mA (all tags),Yes,No,"Action; Input Signal; Positioner
Action; Direct Acting; Reverse
Acting","Direct/4-20mA; Reverse/4-20mA;
Direct/3-15psi; Split-range",Row 76,Action/Input Signal,"'Increase Signal → Close' means as signal
increases, valve closes. This is Direct Acting
positioner (increasing air closes valve = ATC).
For ATO valves, Increase Signal → Open is",
52,53,Positioner Certification,Area Classification (Row 4),Zone 1 Gr. IIC T3 (all tags),—,Derived,Mandatory,"Zone 1 IIC T3 → Intrinsic Safety certification
required: 'Intrinsic Safe Ex ia IIC, T6, with Weather
Proof IP 66 Enclosure'","Intrinsic Safe Ex ia IIC, T6, WP IP66",No,Yes,"ATEX Certification; Hazardous
Area Certificate; Ex Certification; IS
Certificate","Ex ia; Ex d; EEx e; Ex n; PESO
Certificate",Row 77,Certification,"typical.
Zone 1 requires Intrinsic Safety (Ex ia) or
Flameproof (Ex d) certification. KSB MIL standard
uses Ex ia for positioner. PESO certificate also
required (see quality requirements).",
53,54,Position Transmitter,Position Transmitter (Row 61),Yes. 4-20mA+Hart (all tags),—,Derived,Conditional,"'Yes' → Position transmitter is integral to the smart
positioner (METSO ND9103). No separate device.
Mounting: Integral to Smart Positioner. Output: 24
VDC / 4-20 mA (voltage from Row 62).","Integral to Smart Positioner / 24 VDC / 4-
20mA",No,No,"Position Transmitter; Stem Position
Transmitter; Position Feedback;
LVDT","Integral; Separate; Remote Mount;
LVDT; Hall Effect",Rows 86–89,"Type / Make/Model /
Supply/Output","If Row 61 = 'No', populate Rows 86–92 as 'Not
Required'. If a separate transmitter is specified
(non-integral), treat as Engineered selection.",
54,55,Airset Make/Model/Qty,Air Set MFR / Model (Row 72),VTA / VTA / VTA (all tags),—,Derived,Mandatory,"VTA → KSB MIL standard: Shavo SB77-276-M6KN-
N, 1 No. Gauges: Yes (Row 74) → include pressure
gauge.",Shavo/SB77-276-M6KN-N/1 No,No,No,"Air Set; Filter Regulator; AFR;
Airset; Filter Reg Unit","Shavo; Norgren; SMC; Parker;
Watts",Row 67,Make/Model/Qty,"Airset conditions instrument air (filters and
regulates) before it enters positioner and actuator.
Filter: 5 micron standard.",
55,56,Airset Set Pressure / Filter,"Airset Set Pressure (Row 73) / Filter
(Row 74)",By Vendor / Gauge: Yes (all tags),—,Derived,Mandatory,"Set pressure = minimum available air supply (Row 8
MIN) = 3.5 kgf/cm² ≈ 50 psi. Filter size: standard = 5
micron. Gauge: Yes.","Set Pressure: By Vendor / Filter: 5
Micron / Gauge: Yes",No,No,"Set Pressure; Filter Size; Micron
Rating; Filter Element","5 micron; 25 micron; 40 micron; 0.3
micron","Rows
68/73/74","Filter Size / Set Press /
Gauge",,
56,57,Painting Scheme,"Not in standard Enquiry DS body —
from PO/project",Not stated in Enquiry DS,—,Engineered,Mandatory,"KSB MIL standard: Body — SPECIAL | Actuator —
SPECIAL. Painting procedure reference from project
PO (e.g. CP 121_PK233545).",Body - SPECIAL | Actuator - SPECIAL,No,Yes,"Painting; Paint Scheme; Surface
Treatment; Colour Code","RAL 7001; IT 228HS; Epoxy;
Primer + Top coat",Row 111,Painting Scheme,"Painting scheme varies by project. Always refer to
PO painting specification. Body colour: Grey (IT
228HS). Actuator colour: GREEN (fail-open) or
RED (fail-close).",
57,58,Actuator Colour,Power Failure Position (Row 9),Open | Close | Open,—,Derived,Mandatory,"Fail Open (Row 9 = Open) → Actuator colour
GREEN. Fail Close (Row 9 = Close) → Actuator
colour RED. Body always GREY (IT 228HS).",GREEN | RED | GREEN,No,No,"Actuator Colour; Actuator Color;
Body Colour; Colour Code",Green; Red; Yellow; Grey,Row 112,Body Colour / Actuator Colour,"Colour coding is a visual safety indicator of fail-
safe position. Standard: Green = Fail Open; Red
= Fail Close.",
58,59,Cable Gland Type,Not in Enquiry DS,Not stated,—,Engineered,Mandatory,"KSB MIL standard: Double compression type.
Certification derived from Area Classification (Row
4).",Double compression type,No,No,"Cable Gland; Gland Type; Cable
Entry Device","Single compression; Double
compression; Stopping plug; EMC
gland",Row 130,Type,,
59,60,Cable Gland Certification,Area Classification (Row 4),Zone 1 Gr. IIC T3 (all tags),—,Derived,Mandatory,"Zone 1 IIC → Explosion Proof: Ex d IIA, IIB, IIC.
Material: SS 304 + PVC Hood. Cable Type: Flexible.","Explosion Proof Ex d IIA, IIB, IIC",No,Yes,"Cable Gland Certification; Gland
Cert; Hazardous Area Gland; ATEX
Gland",Ex d; Ex e; Ex n,Row 131,Certification,"Cable gland certification must be independent of
positioner certification. Even if positioner is Ex ia,
cable gland must be rated Ex d for Zone 1.",
60,61,IBR Applicability,"Process Fluid (Row 14/15) +
Specification Notes (DS Page 2)","Not steam (Tag1/3); IBR Applicable (Tag2
— process notes state 'IBR Applicable')",—,Derived,Mandatory,"If fluid = steam AND 'IBR' appears in DS Page 2
Spec/Process Notes → IBR applies. Valve must be
tested and certified by IBR per Appendix L.
Otherwise 'IBR Not Required'.","IBR Not Required (Tag1/3) | IBR
Certificate in Form IIIC (Tag2)",Yes,Yes,"IBR; Indian Boiler Regulation;
Boiler Certificate; IBR Certificate","IBR Applicable; IBR Required;
Form IIIC; Not applicable to IBR",Rows 137/145,"Special Testing/Quality
Requirements","IBR certificate requires third-party inspection
during manufacturing. Increases lead time by 4-6
weeks. Flag immediately when identified.",
61,62,NDT — RT Extent,"Not in Enquiry DS directly — standard
requirement","Standard for all castings (Body, Bonnet,
Flanges)",—,Derived,Mandatory,"Standard KSB MIL requirement for all projects: 10%
RT per lot for
Body/Bonnet/Com.Flange/Expander/LNP. Trigger:
always apply unless customer explicitly waives.","[0510] RT extent 10% per lot —
BODY/BONNET/COM.FLANGE/EXP/LN
P",No,No,"RT; Radiographic Testing; X-Ray;
NDE; NDT","10% RT; 100% RT; Spot RT; UT
(Ultrasonic)",Row 138,"Special Testing/Quality
Requirements",,
62,63,NDT — PMI Test,"Not in Enquiry DS directly — standard
requirement",Standard for all trim parts,—,Derived,Mandatory,"Standard KSB MIL requirement: PMI Test (Standard
grade) for all trim parts. Trigger: always apply.","[1801] PMI Test (Std) applicable for
TRIM PARTS",No,No,"PMI; Positive Material
Identification; Material Test; XRF;
Chemical Analysis","PMI Standard; PMI Full; 100% PMI;
PMI on castings",Row 142,"Special Testing/Quality
Requirements","PMI verifies that trim materials match
specification (e.g. confirms SS 410 is not SS 304
supplied in error).",
63,64,NDT — IGC Test,"Trim/Seat Material (Rows 44/45) —
triggered by Austenitic SS","Plug: 410 (13Cr) — not austenitic, trigger
NOT activated for these tags",—,Derived,Conditional,"IGC test triggered when plug/seat material contains
Austenitic Stainless Steel (SS316, CF8M, CF3M,
304 etc.). SS 410 (martensitic) and Stellite do NOT
trigger IGC. For these three tags: IGC row is","[1707] IGC testing as per Prac.E, 250×
microstructure (applicable for Aust.SS
Trim Parts)",Yes,No,"IGC; Intergranular Corrosion;
Sensitisation Test; ASTM A262
Prac E","IGC Test; Weld Decay Test;
Sensitisation",Row 139,"Special Testing/Quality
Requirements","If trim material is changed to SS316 or CF8M in a
future revision, IGC test becomes mandatory.",
64,65,Valve Operating Signature,"Not in Enquiry DS — standard
requirement",Standard for all control valves,—,Derived,Mandatory,"populated as standard but may not be strictly
Standard KSB MIL requirement: valve operating
signature (stem position vs control signal) to be
supplied on CD/soft copy.","[2805] Valves operating signature in the
form of CD",No,No,"Operating Signature; Valve
Signature; Stroke Test Record;
Loop Test","CD; PDF; Digital Report; FAT
Record",Row 143,"Special Testing/Quality
Requirements",,
65,66,PESO Certificate,Area Classification (Row 4),Zone 1 Gr. IIC T3 (all tags),—,Derived,Mandatory,"Hazardous area (Zone 1 or Zone 2) → PESO
certificate required for all electrical accessories
(positioner, solenoid valve if any, limit switches if
any).","[2301] PESO Certificate for All Electrical
Accessories",No,Yes,"PESO; CCOE; Hazardous Area
Certificate; Electrical Accessory
Certificate",PESO; CCOE; Statutory approval,Row 144,"Special Testing/Quality
Requirements","PESO (Petroleum and Explosives Safety
Organisation) is the Indian statutory body.
Certificate must be obtained before despatch.
Add 4-6 weeks to delivery if not pre-certified.",
